"Sample Name","COSMIC identifier","Whole Exome Sequencing (WES)","Copy Number Alterations (CNA)","Gene Expression","Methylation","Drug
Response","GDSC
Tissue descriptor 1","GDSC
Tissue
descriptor 2","Cancer Type
(matching TCGA label)","Microsatellite 
instability Status (MSI)","Screen Medium","Growth Properties"
"NCI-H2405",687821,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H2029",688011,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"NCI-H322M",905967,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Suspension"
"NCI-H740",1331055,"Y","Y","Y","Y","N","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NCI-SNU-16",908446,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","R","Suspension"
"NU-DUL-1",1330982,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"OVK-18",1480371,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSI-H","D/F12","Adherent"
"OCI-LY-19",1330984,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","D/F12","Suspension"
"NCI-H196",1240186,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Adherent"
"SCH",909711,"Y","Y","Y","Y","Y","digestive_system","stomach","","MSS/MSI-L","R","Adherent"
"NCI-H1838",687807,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H2023",1240187,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H211",1240189,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Adherent"
"NCI-H650",722066,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H841",1240192,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"NALM-6",908158,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSI-H","R","Suspension"
"NB14",949178,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"no-11",908450,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"OACM5-1",1503363,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Semi-Adherent"
"OCI-AML5",1330983,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","D/F12","Suspension"
"SNU-423",909737,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","R","Adherent"
"NCI-H1703",908474,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","","MSS/MSI-L","R","Adherent"
"NCI-H2227",688018,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Semi-Adherent"
"NCI-H209",688013,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NCI-H2291",724874,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H3122",1240190,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H747",908457,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"NCI-SNU-5",908445,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Suspension"
"NCC021",1509074,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"NY",910849,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","D/F12","Adherent"
"OVCAR-4",905990,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"OACp4C",1503362,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"SN12C",905979,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"SCC-25",910701,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"NCI-H1693",687802,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H2444",1298356,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","UNABLE TO CLASSIFY","MSS/MSI-L","R","Adherent"
"NCI-H520",908443,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"NCI-H526",688025,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NCI-H929",724825,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"NAMALWA",908159,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"NKM-1",908448,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"NB13",949177,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"OVCAR-3",905933,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"NCI-H1694",688006,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Suspension"
"SW1116",909746,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"SNU-C2B",909740,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Adherent"
"NCI-H2135",1298352,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","UNABLE TO CLASSIFY","MSS/MSI-L","D/F12","Adherent"
"NCI-H2085",687812,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H378",688022,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NCI-H64",688026,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NCI-H69",688027,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NB10",949171,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"NOMO-1",908451,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"NB17",949175,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"OCUM-1",1298358,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Adherent"
"SW1463",909748,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"SW13",909744,"Y","Y","Y","Y","Y","kidney","adrenal_gland","ACC","MSS/MSI-L","D/F12","Adherent"
"SNU-398",1240217,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","R","Adherent"
"NCI-H2342",687819,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H630",908482,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","D/F12","Adherent"
"NCI-H596",908459,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","","MSS/MSI-L","R","Adherent"
"NCI-H82",688031,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NB12",949172,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"NH-12",908447,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"NB5",949176,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"SCC-3",910930,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"SW48",909751,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","D/F12","Adherent"
"SU-DHL-4",1331035,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"SF268",905986,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","R","Adherent"
"NCI-H23",905942,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H522",905944,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H835",753607,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_carcinoid","","MSS/MSI-L","R","Suspension"
"NCI-H647",1240191,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","","MSS/MSI-L","R","Adherent"
"NB69",908440,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"no-10",908452,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"NTERA-2 cl.D1",908454,"Y","Y","Y","Y","Y","urogenital_system","testis","","MSS/MSI-L","D/F12","Adherent"
"SCC-4",910904,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"NCI-H1975",924244,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"SW982",909759,"Y","Y","Y","Y","Y","soft_tissue","soft_tissue_other","","MSS/MSI-L","D/F12","Adherent"
"SF126",909712,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"CMK",910566,"Y","Y","Y","N","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"NB(TU)1-10",1240181,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Adherent"
"NCI-H2141",688014,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Suspension"
"NCI-H250",924241,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"CCF-STTG1",906823,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","R","Adherent"
"COR-L321",1322213,"Y","Y","Y","Y","Y","lung","Lung_other","UNABLE TO CLASSIFY","MSS/MSI-L","R","Suspension"
"SK-MEL-2",905955,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSI-H","R","Adherent"
"Hs-578-T",905957,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"VMRC-LCD",713869,"Y","Y","Y","N","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","","D/F12","Adherent"
"OVCA420",1480364,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"BL-41",910706,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"UWB1.289",1480374,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"COR-L32",1322212,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NCI-H1341",1330964,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Suspension"
"Farage",1297449,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"NCI-H660",1330975,"Y","Y","Y","Y","N","urogenital_system","prostate","","MSS/MSI-L","D/F12","Suspension"
"KARPAS-299",907273,"Y","Y","Y","Y","Y","lymphoma","anaplastic_large_cell_lymphoma","","MSS/MSI-L","R","Suspension"
"NCI-H2172",1298353,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","UNABLE TO CLASSIFY","MSS/MSI-L","R","Adherent"
"LK-2",687787,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"SK-GT-2",1503364,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","R","Adherent"
"SW756",724839,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","D/F12","Adherent"
"NUGC-4",1298357,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","R","Adherent"
"HCC-366",1240144,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","","MSS/MSI-L","R","Adherent"
"ROS-50",1331025,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSS/MSI-L","R","Suspension"
"CHSA0011",1290767,"Y","Y","Y","N","Y","bone","chondrosarcoma","","","R","Adherent"
"KYAE-1",1503368,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Suspension"
"MOLP-8",1330950,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"NCI-H847",1240193,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"COLO-783",1240125,"Y","Y","Y","N","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"LP-1",907791,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","D/F12","Suspension"
"NCI-H524",908483,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NEC8",910942,"Y","Y","Y","Y","Y","urogenital_system","testis","","MSS/MSI-L","R","Adherent"
"CHSA8926",1303912,"Y","Y","Y","Y","Y","bone","chondrosarcoma","","MSS/MSI-L","R","Adherent"
"RPMI-8402",909702,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_T_cell_leukaemia","ALL","MSS/MSI-L","R","Suspension"
"NCI-H2110",1298351,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","UNABLE TO CLASSIFY","MSS/MSI-L","R","Adherent"
"LB2518-MEL",753579,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"TYK-nu",909774,"Y","Y","Y","Y","Y","urogenital_system","ovary","UNABLE TO CLASSIFY","MSS/MSI-L","D/F12","Adherent"
"SUP-HD1",1331039,"Y","Y","Y","Y","Y","lymphoma","Hodgkin_lymphoma","","MSS/MSI-L","R","Suspension"
"SK-CO-1",909718,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"EJM",1297447,"Y","Y","Y","Y","Y","myeloma","lymphoid_neoplasm other","MM","MSS/MSI-L","D/F12","Semi-Adherent"
"CL-40",1240124,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"JHOS-4",1480359,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"Caov-4",949090,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"NCI-H1836",1240182,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Suspension"
"huH-1",1298146,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"HCC1143",749710,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"MOG-G-CCM",908144,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"OV-17R",1480361,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"BICR10",1290724,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"NCI-H1435",1298347,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Semi-Adherent"
"COR-L311",687980,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NCI-H1417",688001,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"COR-L279",910937,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"MLMA",908142,"Y","Y","Y","Y","Y","leukemia","hairy_cell_leukaemia","","MSS/MSI-L","R","Semi-Adherent"
"Hep 3B2_1-7",1240147,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"LB373-MEL-D",753581,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"MDA-MB-468",908123,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"SU-DHL-6",1331037,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"RERF-LC-KJ",1298537,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"COR-L95",1297439,"Y","Y","Y","N","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Adherent"
"MHH-CALL-2",908132,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSS/MSI-L","R","Suspension"
"COR-L303",1297438,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"MDA-MB-415",924240,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"JHOS-3",1480358,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"NB-4",1323913,"Y","Y","Y","N","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"OV-7",1480360,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"BICR31",1290725,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"MDA-MB-330",1330941,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"MHH-CALL-4",908133,"Y","Y","Y","Y","N","leukemia","B_cell_leukemia","","MSS/MSI-L","R","Suspension"
"MC-CAR",683665,"Y","Y","Y","Y","Y","myeloma","haematopoietic_neoplasm other","MM","MSS/MSI-L","D/F12","Suspension"
"TGW",910780,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"NCI-H1436",908469,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Suspension"
"CADO-ES1",753539,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Suspension"
"JHOS-2",1479995,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"YT",946358,"Y","Y","Y","Y","Y","lymphoma","lymphoid_neoplasm other","ALL","MSS/MSI-L","D/F12","Suspension"
"SK-GT-4",1503365,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"UACC-812",910910,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"SNU-61",1660035,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"SIG-M5",909715,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","D/F12","Suspension"
"ALL-SIL",1295740,"Y","Y","Y","Y","Y","leukemia","T_cell_leukemia","ALL","MSS/MSI-L","R","Suspension"
"KMS-12-BM",907281,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"FTC-133",906864,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Adherent"
"RCC10RGB",909974,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"MKN45",925340,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","R","Adherent"
"TE-441-T",924248,"Y","Y","Y","Y","Y","soft_tissue","rhabdomyosarcoma","","MSS/MSI-L","D/F12","Adherent"
"SNU-175",1659928,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Suspension"
"SF295",905985,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"AsPC-1",910702,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"KYSE-180",907318,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"CS1",1290795,"Y","Y","Y","Y","Y","bone","bone_other","","MSS/MSI-L","R","Adherent"
"Raji",909262,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"NCI-N87",908461,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","R","Adherent"
"MIA-PaCa-2",724870,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"TC-YIK",946357,"Y","Y","Y","Y","Y","urogenital_system","cervix","","MSS/MSI-L","R","Suspension"
"SNU-283",1659929,"Y","Y","Y","Y","N","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"A3-KAW",910935,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"BONNA-12",906695,"Y","Y","Y","Y","N","leukemia","hairy_cell_leukaemia","","MSS/MSI-L","R","Suspension"
"KMOE-2",907280,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"PWR-1E",1330993,"Y","Y","Y","Y","Y","urogenital_system","prostate","PRAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H748",909194,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"MHH-NB-11",908135,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Adherent"
"SUP-M2",1331040,"Y","Y","Y","Y","Y","lymphoma","anaplastic_large_cell_lymphoma","","MSS/MSI-L","R","Suspension"
"SNU-1040",1659823,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"BxPC-3",906693,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"HuO-3N1",909977,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","R","Adherent"
"Calu-3",687777,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"PCI-4B",1298531,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"NCI-H2196",908481,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Adherent"
"A704",910920,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"SNU-C5",1674021,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Adherent"
"SK-N-DZ",688086,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"RCC-FG2",1524414,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"KASUMI-1",907275,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"CHP-126",910567,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Suspension"
"PC-3",905934,"Y","Y","Y","Y","Y","urogenital_system","prostate","PRAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H2066",1330973,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"SW156",1240220,"Y","N","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"SU-DHL-5",1331036,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"SK-N-AS",724828,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"8-MG-BA",687562,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"Hs940-T",1298145,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"CAL-12T",753540,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","UNABLE TO CLASSIFY","MSS/MSI-L","D/F12","Adherent"
"PANC-02-03",1298475,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"NCI-H1105",908468,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Suspension"
"LoVo",907790,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","D/F12","Adherent"
"SNU-81",1660036,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"SK-MEL-31",909727,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
